iter	Passed	Remaining
507	567	549
508	568	548
509	569	546
510	570	545
511	570	544
512	572	543
513	572	541
514	573	540
515	574	539
516	575	537
517	577	537
518	578	535
519	579	535
520	580	533
521	581	532
522	582	531
523	583	530
524	584	528
525	585	527
526	586	526
527	587	525
528	588	523
529	589	522
530	589	521
531	591	520
532	592	519
533	593	517
534	594	516
535	595	515
536	596	514
537	597	513
538	598	511
539	599	510
540	600	509
541	601	508
542	602	506
543	603	505
544	604	504
545	605	503
546	606	502
547	607	501
548	608	500
549	609	499
550	610	497
551	612	496
552	613	495
553	614	494
554	615	493
555	616	492
556	617	490
557	618	489
558	619	488
559	620	487
560	621	486
561	622	484
562	623	483
563	624	482
564	625	481
565	627	480
566	628	479
567	629	478
568	630	477
569	630	476
570	631	474
571	632	473
572	634	472
573	634	471
574	635	470
575	636	468
576	638	467
577	639	466
578	640	465
579	641	464
580	641	462
581	643	461
582	644	460
583	645	459
584	646	458
585	647	457
586	648	456
587	649	454
588	650	453
589	651	452
590	652	451
591	653	450
592	654	449
593	655	448
594	656	447
595	657	446
596	659	444
597	660	443
598	660	442
599	661	441
600	662	440
601	663	438
602	664	437
603	665	436
604	667	435
605	668	434
606	669	433
607	670	432
608	671	431
609	672	429
610	673	428
611	674	427
612	675	426
613	676	425
614	677	423
615	678	422
616	679	421
617	679	420
618	681	419
619	682	418
620	683	416
621	684	415
622	685	414
623	686	413
624	687	412
625	688	411
626	689	410
627	690	408
628	691	407
629	692	406
630	693	405
631	694	404
632	695	403
633	696	401
634	697	400
635	698	399
636	699	398
637	700	397
638	701	396
639	702	395
640	703	394
641	704	393
642	706	392
643	707	391
644	709	390
645	710	389
646	711	388
647	712	386
648	713	385
649	714	384
650	715	383
651	716	382
652	717	381
653	718	380
654	719	378
655	720	377
656	721	376
657	722	375
658	723	374
659	724	373
660	725	372
661	726	371
662	728	370
663	729	368
664	730	367
665	731	366
666	732	365
667	733	364
668	734	363
669	735	362
670	736	361
671	737	359
672	738	358
673	739	357
674	740	356
675	741	355
676	742	354
677	743	353
678	744	352
679	745	350
680	746	349
681	747	348
682	748	347
683	749	346
684	750	345
685	751	344
686	752	342
687	753	341
688	754	340
689	755	339
690	756	338
691	757	337
692	759	336
693	760	335
694	761	334
695	762	333
696	763	332
697	764	330
698	766	329
699	766	328
700	767	327
701	768	326
702	769	325
703	770	324
704	771	322
705	772	321
706	774	320
707	775	319
708	776	318
709	777	317
710	778	316
711	779	315
712	780	314
713	781	312
714	782	311
715	783	310
716	784	309
717	785	308
718	786	307
719	787	306
720	788	305
721	789	304
722	790	303
723	791	301
724	793	300
725	793	299
726	794	298
727	795	297
728	796	296
729	797	295
730	798	293
731	799	292
732	800	291
733	801	290
734	802	289
735	803	288
736	805	287
737	806	286
738	807	285
739	808	284
740	809	283
741	810	281
742	811	280
743	812	279
744	813	278
745	814	277
746	815	276
747	816	275
748	817	274
749	819	273
750	820	271
751	821	270
752	822	269
753	823	268
754	824	267
755	825	266
756	826	265
757	827	264
758	828	263
759	829	262
760	830	260
761	831	259
762	833	258
763	834	257
764	835	256
765	836	255
766	837	254
767	838	253
768	839	252
769	840	251
770	841	249
771	842	248
772	843	247
773	844	246
774	845	245
775	846	244
776	847	243
777	848	242
778	850	241
779	851	240
780	852	239
781	853	237
782	854	236
783	855	235
784	856	234
785	857	233
786	858	232
787	859	231
788	860	230
789	861	229
790	862	228
791	864	226
792	865	225
793	866	224
794	867	223
795	868	222
796	869	221
797	870	220
798	871	219
799	872	218
800	873	217
801	874	215
802	875	214
803	876	213
804	878	212
805	879	211
806	880	210
807	881	209
808	882	208
809	883	207
810	884	206
811	885	205
812	886	203
813	887	202
814	888	201
815	889	200
816	890	199
817	891	198
818	893	197
819	894	196
820	895	195
821	896	194
822	897	193
823	899	192
824	900	190
825	901	189
826	902	188
827	903	187
828	905	186
829	906	185
830	907	184
831	909	183
832	910	182
833	911	181
834	912	180
835	913	179
836	915	178
837	916	177
838	917	176
839	918	174
840	919	173
841	920	172
842	922	171
843	923	170
844	924	169
845	925	168
846	926	167
847	927	166
848	928	165
849	929	164
850	931	163
851	931	161
852	933	160
853	934	159
854	935	158
855	936	157
856	938	156
857	939	155
858	940	154
859	941	153
860	942	152
861	943	151
862	944	149
863	946	148
864	947	147
865	948	146
866	949	145
867	950	144
868	952	143
869	953	142
870	954	141
871	955	140
872	956	139
873	958	138
874	959	137
875	961	136
876	962	134
877	963	133
878	964	132
879	965	131
880	967	130
881	968	129
882	969	128
883	971	127
884	972	126
885	975	125
886	977	124
887	978	123
888	979	122
889	980	121
890	981	120
891	983	119
892	984	117
893	985	116
894	987	115
895	988	114
896	989	113
897	990	112
898	991	111
899	992	110
900	994	109
901	995	108
902	996	107
903	997	105
904	998	104
905	1000	103
906	1001	102
907	1002	101
908	1003	100
909	1004	99
910	1005	98
911	1006	97
912	1007	96
913	1008	94
914	1010	93
915	1011	92
916	1012	91
917	1013	90
918	1014	89
919	1015	88
920	1016	87
921	1017	86
922	1018	84
923	1020	83
924	1021	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1027	77
930	1029	76
931	1030	75
932	1031	74
933	1032	72
934	1033	71
935	1035	70
936	1036	69
937	1037	68
938	1038	67
939	1039	66
940	1040	65
941	1041	64
942	1042	63
943	1043	61
944	1044	60
945	1045	59
946	1047	58
947	1048	57
948	1049	56
949	1050	55
950	1051	54
951	1051	53
952	1053	51
953	1054	50
954	1055	49
955	1056	48
956	1057	47
957	1058	46
958	1059	45
959	1060	44
960	1061	43
961	1062	41
962	1063	40
963	1065	39
964	1066	38
965	1067	37
966	1068	36
967	1069	35
968	1070	34
969	1071	33
970	1072	32
971	1074	30
972	1075	29
973	1076	28
974	1077	27
975	1078	26
976	1079	25
977	1080	24
978	1082	23
979	1083	22
980	1084	21
981	1086	19
982	1087	18
983	1089	17
984	1090	16
985	1092	15
986	1093	14
987	1094	13
988	1095	12
989	1097	11
990	1098	9
991	1099	8
992	1100	7
993	1101	6
994	1103	5
995	1104	4
996	1105	3
997	1106	2
998	1107	1
999	1108	0
